signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
saw,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.0002995230024680495
saw,44100,cepstrum,isCustomFFT=False,200,99.87119096436652,0.00034397700073895976
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,200,193.798828125,0.003977697000664193
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,162.53255208333334,15.45805005600414
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,15.45805005600414
square,44100,zerocross,n/a,200,200.02668089647813,0.00015749799786135554
square,44100,autocorrelation,n/a,200,199.54751131221718,6.906488994995016
square,44100,AMDF,b=1,200,100.0,8.307007166993571
square,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.0002977740005007945
square,44100,cepstrum,isCustomFFT=False,200,538.330078125,0.00036169899976812303
square,44100,HPS,isCustomFFT=False&numDownsamples=4,200,64.599609375,0.0038753869957872666
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,164.44877981240572,15.218188519982505
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,15.218188519982505
triangle,44100,zerocross,n/a,200,200.05040322580646,0.00019189799786545336
triangle,44100,autocorrelation,n/a,200,200.45454545454547,6.909733813001367
triangle,44100,AMDF,b=1,200,100.0,9.08227091399749
triangle,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.0003042780008399859
triangle,44100,cepstrum,isCustomFFT=False,200,3678.5888671875,0.00033980299485847354
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,200,64.599609375,0.003826788997685071
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,164.61641045026883,15.996667494990106
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,15.996667494990106
sineWith10Harmonics,44100,zerocross,n/a,200,200.05040322580646,0.00018526799976825714
sineWith10Harmonics,44100,autocorrelation,n/a,200,200.45454545454547,8.255477350998262
sineWith10Harmonics,44100,AMDF,b=1,200,100.0,8.73255395799788
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.00030731799779459834
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,200,3678.5888671875,0.00033900699781952426
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,200,193.798828125,0.003899928997270763
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,195.8826864919355,16.992762830988795
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,16.992762830988795
sineWith20Harmonics,44100,zerocross,n/a,200,200.05040322580646,0.00016048699762905017
sineWith20Harmonics,44100,autocorrelation,n/a,200,199.54751131221718,6.923432193005283
sineWith20Harmonics,44100,AMDF,b=1,200,100.0,8.661995309004851
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,200,193.798828125,0.00030036200041649863
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,200,3678.5888671875,0.00033555800473550335
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,200,193.798828125,0.0038296670027193613
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,200,195.7150558540724,15.590053576015634
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,200,193.798828125,15.590053576015634
sine,44100,zerocross,n/a,250,250.07396449704143,0.0001948100034496747
sine,44100,autocorrelation,n/a,250,250.5681818181818,6.9274102359995595
sine,44100,AMDF,b=1,250,50.0,8.542335521997302
sine,44100,naiveFT,isCustomFFT=False,250,258.3984375,0.0002980439967359416
